LEADER_PERCENTILE,LEADER_RANK,METRIC,NUM_COMPETITORS,PUBLIC_ERROR,SCORE,STATUS,dataset,fold,framework,metric_error,metric_score,problem_type,time_train_s
0.208667737,1040.0,RMSLE,4984,0.11962,0.11962,,house-prices-advanced-regression-techniques,0,autogluon_4h,0.11962,-0.11962,regression,11966.19156
0.29359605899999996,894.0,MAE,3045,1117.44592,1126.66575,,allstate-claims-severity,0,autogluon_4h,1126.66575,-1126.66575,regression,14343.33213
0.830193616,3173.0,R2,3822,0.45651,0.52773,,mercedes-benz-greener-manufacturing,0,autogluon_4h,0.47226999999999997,-0.47226999999999997,regression,13775.181719999999
0.584398117,2607.0,RMSLE,4461,1.46918,1.4136799999999998,,santander-value-prediction-challenge,0,autogluon_4h,1.4136799999999998,-1.4136799999999998,regression,12567.51914
0.013356163999999998,39.0,Log-Loss,2920,0.43908,0.4373,,bnp-paribas-cardif-claims-management,0,autogluon_4h,0.4373,-0.4373,binary,9211.355881
0.593210653,5190.0,AUC,8749,0.10213,0.89586,,santander-customer-transaction-prediction,0,autogluon_4h,0.10414000000000001,-0.10414000000000001,binary,12025.774959999999
0.176148583,901.0,AUC,5115,0.1612,0.8265399999999999,,santander-customer-satisfaction,0,autogluon_4h,0.17346,-0.17346,binary,9963.692320999999
0.5371484000000001,2769.0,Gini,5155,0.72296,0.2824,,porto-seguro-safe-driver-prediction,0,autogluon_4h,0.7176,-0.7176,binary,12660.531359999999
0.677693762,4302.0,AUC,6348,0.07140099999999999,0.9004139999999999,,ieee-fraud-detection,0,autogluon_4h,0.09958600000000001,-0.09958600000000001,binary,13862.6683
0.6155321189999999,642.0,Log-Loss,1043,2.09354,2.09037,,walmart-recruiting-trip-type-classification,0,autogluon_4h,2.09037,-2.09037,multiclass,16772.66213
0.011982882,42.0,Log-Loss,3505,0.40689000000000003,0.40993,,otto-group-product-classification-challenge,0,autogluon_4h,0.40993,-0.40993,multiclass,12993.59437
0.215489567,1074.0,RMSLE,4984,0.11979000000000001,0.11979000000000001,,house-prices-advanced-regression-techniques,0,autogluon_8h,0.11979000000000001,-0.11979000000000001,regression,26702.62891
0.268308703,817.0,MAE,3045,1116.39174,1125.33539,,allstate-claims-severity,0,autogluon_8h,1125.33539,-1125.33539,regression,23879.16366
0.8469387759999999,3237.0,R2,3822,0.46565,0.5230199999999999,,mercedes-benz-greener-manufacturing,0,autogluon_8h,0.47698,-0.47698,regression,28118.098319999997
0.576776508,2573.0,RMSLE,4461,1.46576,1.41083,,santander-value-prediction-challenge,0,autogluon_8h,1.41083,-1.41083,regression,27747.930160000004
0.013356163999999998,39.0,Log-Loss,2920,0.43872,0.43685,,bnp-paribas-cardif-claims-management,0,autogluon_8h,0.43685,-0.43685,binary,22932.83137
0.572179678,5006.0,AUC,8749,0.10153999999999999,0.8964,,santander-customer-transaction-prediction,0,autogluon_8h,0.1036,-0.1036,binary,28840.136389999996
0.600977517,3074.0,AUC,5115,0.16963,0.82175,,santander-customer-satisfaction,0,autogluon_8h,0.17825,-0.17825,binary,26801.95489
0.530164888,2733.0,Gini,5155,0.7227600000000001,0.28264,,porto-seguro-safe-driver-prediction,0,autogluon_8h,0.71736,-0.71736,binary,20925.96211
0.699117832,4438.0,AUC,6348,0.07016,0.897785,,ieee-fraud-detection,0,autogluon_8h,0.102215,-0.102215,binary,28962.41579
0.606903164,633.0,Log-Loss,1043,2.0343,2.03385,,walmart-recruiting-trip-type-classification,0,autogluon_8h,2.03385,-2.03385,multiclass,29581.236910000003
0.011697575,41.0,Log-Loss,3505,0.40665,0.40958,,otto-group-product-classification-challenge,0,autogluon_8h,0.40958,-0.40958,multiclass,25649.96469
0.251203852,1252.0,RMSLE,4984,0.12136,0.12136,,house-prices-advanced-regression-techniques,0,autosklearn_4h,0.12136,-0.12136,regression,14396.396480000001
0.68998358,2101.0,MAE,3045,1177.67074,1186.0987,,allstate-claims-severity,0,autosklearn_4h,1186.0987,-1186.0987,regression,14398.88455
0.555729984,2124.0,R2,3822,0.44861,0.54561,,mercedes-benz-greener-manufacturing,0,autosklearn_4h,0.45438999999999996,-0.45438999999999996,regression,14395.72206
0.6807890609999999,3037.0,RMSLE,4461,1.49452,1.44694,,santander-value-prediction-challenge,0,autosklearn_4h,1.44694,-1.44694,regression,14396.93227
0.587671233,1716.0,Log-Loss,2920,0.46335,0.46121,,bnp-paribas-cardif-claims-management,0,autosklearn_4h,0.46121,-0.46121,binary,14397.95713
0.670476626,5866.0,AUC,8749,0.11057,0.8881,,santander-customer-transaction-prediction,0,autosklearn_4h,0.1119,-0.1119,binary,14397.39531
