acc,auc,dataset,fold,framework,id,info,logloss,metric_error,metric_score,mode,models,models_ensemble,params,problem_type,seed,tag,time_infer_s,time_train_s,utc,version
0.876561,0.932329,adult,0,autogluon_nobag_1h,openml.org/t/7592,,,0.06767100000000004,0.932329,local,11.0,11.0,,binary,561249353,stable,0.116623,554.5,2020-02-03T08:40:02,0.0.5
0.673335,0.728916,Airlines,0,autogluon_nobag_1h,openml.org/t/189354,,,0.271084,0.728916,local,9.0,9.0,,binary,987063140,stable,9.0955,3758.0,2020-02-03T09:37:23,0.0.5
0.6926680000000001,0.764411,Albert,0,autogluon_nobag_1h,openml.org/t/189356,,,0.23558900000000005,0.764411,local,11.0,11.0,,binary,4258478697,stable,46.4797,1698.7,2020-02-03T09:10:04,0.0.5
0.947513,0.874178,Amazon_employee_access,0,autogluon_nobag_1h,openml.org/t/34539,,,0.125822,0.874178,local,11.0,11.0,,binary,1454624937,stable,0.248553,180.4,2020-02-03T08:33:47,0.0.5
0.995,0.994753,APSFailure,0,autogluon_nobag_1h,openml.org/t/168868,,,0.005247000000000002,0.994753,local,11.0,11.0,,binary,3308990876,stable,0.861034,267.2,2020-02-03T08:35:56,0.0.5
0.8695649999999999,0.93039,Australian,0,autogluon_nobag_1h,openml.org/t/146818,,,0.06960999999999995,0.93039,local,11.0,11.0,,binary,1881766195,stable,0.13885,11.0,2020-02-03T08:29:48,0.0.5
0.909774,0.939252,bank-marketing,0,autogluon_nobag_1h,openml.org/t/14965,,,0.060748000000000024,0.939252,local,11.0,11.0,,binary,1214980401,stable,2.30873,425.3,2020-02-03T08:38:05,0.0.5
0.773333,0.7792399999999999,blood-transfusion,0,autogluon_nobag_1h,openml.org/t/10101,,,0.22076000000000007,0.7792399999999999,local,11.0,11.0,,binary,4214708947,stable,0.13158499999999998,12.2,2020-02-03T08:29:55,0.0.5
1.0,,car,0,autogluon_nobag_1h,openml.org/t/146821,,0.0012724,0.0012724,0.0012724,local,9.0,9.0,,multiclass,2017413427,stable,0.059551,84.4,2020-02-03T08:31:13,0.0.5
0.745387,0.8344659999999999,christine,0,autogluon_nobag_1h,openml.org/t/168908,,,0.16553400000000007,0.8344659999999999,local,11.0,11.0,,binary,4255173854,stable,2.28938,188.7,2020-02-03T08:34:03,0.0.5
0.953704,,cnae-9,0,autogluon_nobag_1h,openml.org/t/9981,,0.191053,0.191053,0.191053,local,11.0,11.0,,multiclass,1681072517,stable,1.9887,64.2,2020-02-03T08:31:07,0.0.5
0.867525,,connect-4,0,autogluon_nobag_1h,openml.org/t/146195,,0.344527,0.344527,0.344527,local,11.0,11.0,,multiclass,2661813217,stable,2.4773,642.1,2020-02-03T08:42:02,0.0.5
0.97198,,Covertype,0,autogluon_nobag_1h,openml.org/t/7593,,0.071849,0.071849,0.071849,local,8.0,8.0,,multiclass,64139047,stable,8.68542,3631.9,2020-02-03T09:35:37,0.0.5
0.76,0.832381,credit-g,0,autogluon_nobag_1h,openml.org/t/31,,,0.16761899999999996,0.832381,local,11.0,11.0,,binary,3343116633,stable,0.478428,18.2,2020-02-03T08:30:17,0.0.5
0.987,,dilbert,0,autogluon_nobag_1h,openml.org/t/168909,,0.0554656,0.0554656,0.0554656,local,10.0,10.0,,multiclass,3795991790,stable,0.986197,3620.5,2020-02-03T09:32:58,0.0.5
0.920926,,Dionis,0,autogluon_nobag_1h,openml.org/t/189355,,0.321728,0.321728,0.321728,local,6.0,6.0,,multiclass,1025808079,stable,5.395969999999998,3665.6,2020-02-03T09:45:14,0.0.5
0.73665,,fabert,0,autogluon_nobag_1h,openml.org/t/168910,,0.7152069999999999,0.7152069999999999,0.7152069999999999,local,11.0,11.0,,multiclass,1098614122,stable,1.01667,391.0,2020-02-03T08:37:13,0.0.5
0.909857,,Fashion-MNIST,0,autogluon_nobag_1h,openml.org/t/146825,,0.247918,0.247918,0.247918,local,11.0,11.0,,multiclass,1817173814,stable,111.243,3687.3,2020-02-03T09:42:36,0.0.5
0.847,0.914368,guiellermo,0,autogluon_nobag_1h,openml.org/t/168337,,,0.08563200000000004,0.914368,local,11.0,11.0,,binary,2918471917,stable,4.31883,1262.3,2020-02-03T09:09:33,0.0.5
0.398773,,Helena,0,autogluon_nobag_1h,openml.org/t/168329,,2.47025,2.47025,2.47025,local,7.0,7.0,,multiclass,3030806122,stable,10.0835,1113.3,2020-02-03T08:50:39,0.0.5
0.7362569999999999,0.817109,higgs,0,autogluon_nobag_1h,openml.org/t/146606,,,0.18289100000000003,0.817109,local,11.0,11.0,,binary,1610120391,stable,29.1879,366.8,2020-02-03T08:39:18,0.0.5
0.724504,,Jannis,0,autogluon_nobag_1h,openml.org/t/168330,,0.671402,0.671402,0.671402,local,11.0,11.0,,multiclass,899802838,stable,1.1308,423.9,2020-02-03T08:39:02,0.0.5
0.809365,0.872483,jasmine,0,autogluon_nobag_1h,openml.org/t/168911,,,0.127517,0.872483,local,11.0,11.0,,binary,1904948570,stable,0.6690619999999999,20.5,2020-02-03T08:30:38,0.0.5
0.966979,,jungle_chess_2pcs_raw_endgame_complete,0,autogluon_nobag_1h,openml.org/t/167119,,0.0630449,0.0630449,0.0630449,local,11.0,11.0,,multiclass,1821011626,stable,0.22061,1478.8,2020-02-03T08:55:58,0.0.5
0.8862559999999999,0.848202,kc1,0,autogluon_nobag_1h,openml.org/t/3917,,,0.151798,0.848202,local,11.0,11.0,,binary,97406702,stable,0.403156,14.3,2020-02-03T08:30:29,0.0.5
0.9822,0.842369,KDDCup09_appetency,0,autogluon_nobag_1h,openml.org/t/3945,,,0.15763099999999997,0.842369,local,11.0,11.0,,binary,2062685772,stable,9.84502,1383.1,2020-02-03T08:55:21,0.0.5
0.99375,0.999922,kr-vs-kp,0,autogluon_nobag_1h,openml.org/t/3,,,7.80000000000225e-05,0.999922,local,9.0,9.0,,binary,633338760,stable,0.109799,30.7,2020-02-03T08:30:47,0.0.5
