acc,dataset,fold,framework,id,info,metric_error,metric_score,mode,models,models_ensemble,params,problem_type,seed,tag,time_infer_s,time_train_s,utc,version
0.871034,adult,0,AutoPilot_1h,openml.org/t/7592,,0.12896600000000003,0.871034,local,10.0,1.0,,binary,2814690860,stable,240.677,3666.5,2020-02-04T15:31:22,1.0
0.667903,Airlines,0,AutoPilot_1h,openml.org/t/189354,,0.332097,0.667903,local,10.0,1.0,,binary,286396732,stable,451.145,3668.3,2020-02-05T00:59:40,1.0
0.647775,Albert,0,AutoPilot_1h,openml.org/t/189356,,0.352225,0.647775,local,10.0,1.0,,binary,4051172572,stable,243.666,3695.0,2020-02-05T02:10:36,1.0
0.945072,Amazon_employee_access,0,AutoPilot_1h,openml.org/t/34539,,0.05492799999999998,0.945072,local,10.0,1.0,,binary,2763709444,stable,270.79900000000004,3668.6,2020-02-04T16:37:36,1.0
0.994737,APSFailure,0,AutoPilot_1h,openml.org/t/168868,,0.005263000000000018,0.994737,local,10.0,1.0,,binary,2106399548,stable,271.822,3676.8,2020-02-04T17:44:22,1.0
0.90513,bank-marketing,0,AutoPilot_1h,openml.org/t/14965,,0.09487000000000001,0.90513,local,10.0,1.0,,binary,543165786,stable,270.634,3666.6,2020-02-04T05:27:00,1.0
0.99422,car,0,AutoPilot_1h,openml.org/t/146821,,0.005780000000000007,0.99422,local,10.0,1.0,,binary,2164109378,stable,270.54900000000004,3666.7,2020-02-04T04:16:51,1.0
0.738007,christine,0,AutoPilot_1h,openml.org/t/168908,,0.26199300000000003,0.738007,local,10.0,1.0,,binary,874638613,stable,271.567,3676.6,2020-02-04T04:09:27,1.0
0.864417,connect-4,0,AutoPilot_1h,openml.org/t/146195,,0.135583,0.864417,local,10.0,1.0,,binary,1143765317,stable,240.755,3668.2,2020-02-04T06:32:26,1.0
0.979,dilbert,0,AutoPilot_1h,openml.org/t/168909,,0.02100000000000002,0.979,local,10.0,1.0,,binary,2783871126,stable,243.666,3691.9,2020-02-04T05:26:24,1.0
0.723301,fabert,0,AutoPilot_1h,openml.org/t/168910,,0.27669900000000003,0.723301,local,10.0,1.0,,binary,586720688,stable,241.063,3670.5,2020-02-04T06:41:30,1.0
0.366104,Helena,0,AutoPilot_1h,openml.org/t/168329,,0.366104,0.633896,local,10.0,1.0,,binary,2943045006,stable,331.5619999999999,63.9,2020-02-04T22:31:41,1.0
0.714125,higgs,0,AutoPilot_1h,openml.org/t/146606,,0.285875,0.714125,local,10.0,1.0,,binary,900174879,stable,241.072,3678.9,2020-02-04T11:34:07,1.0
0.7187720000000001,Jannis,0,AutoPilot_1h,openml.org/t/168330,,0.2812279999999999,0.7187720000000001,local,10.0,1.0,,binary,285979365,stable,271.277,3689.3,2020-02-04T12:40:58,1.0
0.785953,jasmine,0,AutoPilot_1h,openml.org/t/168911,,0.214047,0.785953,local,10.0,1.0,,binary,2291146851,stable,240.514,3666.3,2020-02-04T07:49:16,1.0
0.954485,jungle_chess_2pcs_raw_endgame_complete,0,AutoPilot_1h,openml.org/t/167119,,0.04551499999999997,0.954485,local,10.0,1.0,,binary,689741955,stable,240.47,3666.7,2020-02-04T13:46:51,1.0
0.9822,KDDCup09_appetency,0,AutoPilot_1h,openml.org/t/3945,,0.017800000000000038,0.9822,local,10.0,1.0,,binary,1408303871,stable,271.206,66.7,2020-02-04T22:41:51,1.0
0.99375,kr-vs-kp,0,AutoPilot_1h,openml.org/t/3,,0.006249999999999978,0.99375,local,10.0,1.0,,binary,3818227023,stable,240.565,3665.9,2020-02-04T10:00:05,1.0
0.965,mfeat-factors,0,AutoPilot_1h,openml.org/t/12,,0.03500000000000003,0.965,local,10.0,1.0,,binary,1149185973,stable,240.616,3666.9,2020-02-04T11:05:26,1.0
0.940263,MiniBooNE,0,AutoPilot_1h,openml.org/t/168335,,0.05973700000000004,0.940263,local,10.0,1.0,,binary,792062039,stable,241.492,3679.8,2020-02-04T15:59:13,1.0
0.970409,nomao,0,AutoPilot_1h,openml.org/t/9977,,0.029591000000000034,0.970409,local,10.0,1.0,,binary,3184126504,stable,241.092,3669.9,2020-02-04T17:05:22,1.0
0.511316,numerai28.6,0,AutoPilot_1h,openml.org/t/167120,,0.488684,0.511316,local,10.0,1.0,,binary,2858238739,stable,240.872,3671.5,2020-02-04T18:11:09,1.0
0.900185,phoneme,0,AutoPilot_1h,openml.org/t/9952,,0.09981499999999999,0.900185,local,10.0,1.0,,binary,3126780866,stable,240.638,3666.5,2020-02-04T12:10:43,1.0
0.987013,segment,0,AutoPilot_1h,openml.org/t/146822,,0.01298699999999997,0.987013,local,10.0,1.0,,binary,354989096,stable,240.557,3667.1,2020-02-04T13:16:00,1.0
0.999655,Shuttle,0,AutoPilot_1h,openml.org/t/146212,,0.0003450000000000397,0.999655,local,10.0,1.0,,binary,1312590002,stable,270.648,3667.3,2020-02-04T22:43:08,1.0
0.937622,sylvine,0,AutoPilot_1h,openml.org/t/168912,,0.062378000000000045,0.937622,local,10.0,1.0,,binary,351135894,stable,270.59,3666.5,2020-02-04T14:21:47,1.0
0.699365,Volkert,0,AutoPilot_1h,openml.org/t/168331,,0.300635,0.699365,local,10.0,1.0,,binary,2956058661,stable,241.805,3677.2,2020-02-04T23:49:13,1.0
