acc,auc,dataset,fold,framework,id,info,logloss,metric_error,metric_score,mode,models,params,problem_type,seed,tag,time_train_s,utc,version
0.672519,0.7291770000000001,Airlines,1,orig_autosklearn_4h,openml.org/t/189354,,,0.2708229999999999,0.7291770000000001,aws.docker,10.0,{'_n_jobs': 4},binary,2737798690,stable,14398.7,2019-04-19T01:38:55,0.5.1
0.671419,0.726055,Airlines,3,orig_autosklearn_4h,openml.org/t/189354,,,0.273945,0.726055,aws.docker,13.0,{'_n_jobs': 4},binary,2737798692,stable,14410.3,2019-04-19T01:40:03,0.5.1
0.668162,0.723957,Airlines,2,orig_autosklearn_4h,openml.org/t/189354,,,0.27604300000000004,0.723957,aws.docker,9.0,{'_n_jobs': 4},binary,2737798691,stable,14435.3,2019-04-19T01:39:42,0.5.1
0.673242,0.7287020000000001,Airlines,0,orig_autosklearn_4h,openml.org/t/189354,,,0.27129799999999993,0.7287020000000001,aws.docker,10.0,{'_n_jobs': 4},binary,2737798689,stable,14405.9,2019-04-19T01:39:24,0.5.1
0.66899,0.723442,Airlines,4,orig_autosklearn_4h,openml.org/t/189354,,,0.27655799999999997,0.723442,aws.docker,8.0,{'_n_jobs': 4},binary,2737798693,stable,14414.5,2019-04-19T01:39:24,0.5.1
0.674311,0.729822,Airlines,9,orig_autosklearn_4h,openml.org/t/189354,,,0.27017800000000003,0.729822,aws.docker,9.0,{'_n_jobs': 4},binary,2737798698,stable,14414.5,2019-04-19T01:39:57,0.5.1
0.6714,0.727911,Airlines,6,orig_autosklearn_4h,openml.org/t/189354,,,0.272089,0.727911,aws.docker,18.0,{'_n_jobs': 4},binary,2737798695,stable,14418.6,2019-04-19T01:40:16,0.5.1
0.67077,0.723545,Airlines,5,orig_autosklearn_4h,openml.org/t/189354,,,0.276455,0.723545,aws.docker,10.0,{'_n_jobs': 4},binary,2737798694,stable,14449.7,2019-04-19T01:40:29,0.5.1
0.670251,0.7267140000000001,Airlines,7,orig_autosklearn_4h,openml.org/t/189354,,,0.2732859999999999,0.7267140000000001,aws.docker,6.0,{'_n_jobs': 4},binary,2737798696,stable,14502.4,2019-04-19T01:41:15,0.5.1
0.6685270000000001,0.722093,Airlines,8,orig_autosklearn_4h,openml.org/t/189354,,,0.277907,0.722093,aws.docker,6.0,{'_n_jobs': 4},binary,2737798697,stable,14516.7,2019-04-19T01:41:23,0.5.1
0.685542,0.752947,Albert,8,orig_autosklearn_4h,openml.org/t/189356,,,0.24705299999999997,0.752947,aws.docker,8.0,{'_n_jobs': 4},binary,2737798697,stable,14397.8,2019-04-19T01:47:07,0.5.1
0.674701,0.738589,Albert,0,orig_autosklearn_4h,openml.org/t/189356,,,0.26141099999999995,0.738589,aws.docker,6.0,{'_n_jobs': 4},binary,2737798689,stable,14398.3,2019-04-19T01:46:58,0.5.1
0.678323,0.7440720000000001,Albert,2,orig_autosklearn_4h,openml.org/t/189356,,,0.25592799999999993,0.7440720000000001,aws.docker,7.0,{'_n_jobs': 4},binary,2737798691,stable,14803.9,2019-04-19T01:53:31,0.5.1
0.688176,0.758338,Albert,3,orig_autosklearn_4h,openml.org/t/189356,,,0.24166200000000004,0.758338,aws.docker,9.0,"{'_attempt': 2, '_n_jobs': 4}",binary,1577820140,stable,14399.2,2019-04-25T18:13:00,0.5.1
0.693867,0.763536,Albert,4,orig_autosklearn_4h,openml.org/t/189356,,,0.236464,0.763536,aws.docker,13.0,"{'_attempt': 2, '_n_jobs': 4}",binary,1577820141,stable,14400.3,2019-04-25T18:13:28,0.5.1
0.698758,0.767896,Albert,9,orig_autosklearn_4h,openml.org/t/189356,,,0.23210399999999998,0.767896,aws.docker,15.0,"{'_attempt': 2, '_n_jobs': 4}",binary,1577820146,stable,14397.8,2019-04-25T18:13:51,0.5.1
0.674913,0.742261,Albert,6,orig_autosklearn_4h,openml.org/t/189356,,,0.25773900000000005,0.742261,aws.docker,8.0,"{'_attempt': 2, '_n_jobs': 4}",binary,1577820143,stable,14610.1,2019-04-25T18:18:45,0.5.1
0.9658180000000001,,Covertype,6,orig_autosklearn_4h,openml.org/t/7593,,0.11867899999999999,0.11867899999999999,0.11867899999999999,aws.docker,2.0,{'_n_jobs': 4},multiclass,2737798695,stable,14405.0,2019-04-19T05:47:27,0.5.1
0.9669540000000001,,Covertype,7,orig_autosklearn_4h,openml.org/t/7593,,0.11904100000000001,0.11904100000000001,0.11904100000000001,aws.docker,2.0,{'_n_jobs': 4},multiclass,2737798696,stable,14472.2,2019-04-19T05:48:34,0.5.1
0.965543,,Covertype,2,orig_autosklearn_4h,openml.org/t/7593,,0.11982999999999999,0.11982999999999999,0.11982999999999999,aws.docker,3.0,{'_n_jobs': 4},multiclass,2737798691,stable,14612.9,2019-04-19T05:49:53,0.5.1
0.965199,,Covertype,8,orig_autosklearn_4h,openml.org/t/7593,,0.119197,0.119197,0.119197,aws.docker,2.0,{'_n_jobs': 4},multiclass,2737798697,stable,14532.2,2019-04-19T05:49:38,0.5.1
0.965578,,Covertype,0,orig_autosklearn_4h,openml.org/t/7593,,0.119352,0.119352,0.119352,aws.docker,2.0,{'_n_jobs': 4},multiclass,2737798689,stable,14695.6,2019-04-19T05:50:09,0.5.1
0.963443,,Covertype,4,orig_autosklearn_4h,openml.org/t/7593,,0.127075,0.127075,0.127075,aws.docker,2.0,{'_n_jobs': 4},multiclass,2737798693,stable,14721.0,2019-04-19T05:51:49,0.5.1
0.966007,,Covertype,9,orig_autosklearn_4h,openml.org/t/7593,,0.12409300000000001,0.12409300000000001,0.12409300000000001,aws.docker,3.0,{'_n_jobs': 4},multiclass,2737798698,stable,14592.9,2019-04-19T05:52:00,0.5.1
0.965199,,Covertype,1,orig_autosklearn_4h,openml.org/t/7593,,0.128225,0.128225,0.128225,aws.docker,3.0,{'_n_jobs': 4},multiclass,2737798690,stable,14796.4,2019-04-19T05:52:47,0.5.1
0.9680559999999999,,Covertype,3,orig_autosklearn_4h,openml.org/t/7593,,0.116569,0.116569,0.116569,aws.docker,3.0,{'_n_jobs': 4},multiclass,2737798692,stable,14851.5,2019-04-19T05:54:10,0.5.1
