acc,auc,duration,fold,framework,id,info,logloss,mode,models,models_ensemble,params,predict_duration,result,seed,tag,task,utc,version
0.8767659999999999,0.9319959999999999,3611.0,0,autogluon,openml.org/t/7592,,,local,22.0,22.0,,66.5838,0.9319959999999999,3962431498,stable,adult,2020-02-01T05:58:04,0.0.5
0.879222,0.9287690000000001,3609.6,1,autogluon,openml.org/t/7592,,,local,22.0,22.0,,125.51299999999999,0.9287690000000001,3962431499,stable,adult,2020-02-01T07:02:58,0.0.5
0.87285,0.9322469999999999,3610.1,2,autogluon,openml.org/t/7592,,,local,22.0,22.0,,102.62299999999999,0.9322469999999999,3962431500,stable,adult,2020-02-01T08:07:26,0.0.5
0.869984,0.928272,3610.0,3,autogluon,openml.org/t/7592,,,local,22.0,22.0,,92.4997,0.928272,3962431501,stable,adult,2020-02-01T09:11:48,0.0.5
0.8738739999999999,0.9281959999999999,3610.1,4,autogluon,openml.org/t/7592,,,local,22.0,22.0,,79.5752,0.9281959999999999,3962431502,stable,adult,2020-02-01T10:15:56,0.0.5
0.8693690000000001,0.9254120000000001,3610.2,5,autogluon,openml.org/t/7592,,,local,22.0,22.0,,74.676,0.9254120000000001,3962431503,stable,adult,2020-02-01T11:19:48,0.0.5
0.8712120000000001,0.931932,3610.1,6,autogluon,openml.org/t/7592,,,local,22.0,22.0,,78.2657,0.931932,3962431504,stable,adult,2020-02-01T12:23:47,0.0.5
0.8755120000000001,0.933336,3609.0,7,autogluon,openml.org/t/7592,,,local,22.0,22.0,,83.0082,0.933336,3962431505,stable,adult,2020-02-01T13:27:50,0.0.5
0.8818590000000001,0.938951,3609.9,8,autogluon,openml.org/t/7592,,,local,22.0,22.0,,78.6478,0.938951,3962431506,stable,adult,2020-02-01T14:31:53,0.0.5
0.8787879999999999,0.935198,3607.9,9,autogluon,openml.org/t/7592,,,local,22.0,22.0,,67.2804,0.935198,3962431507,stable,adult,2020-02-01T15:35:43,0.0.5
0.6555,0.70833,3689.2,0,autogluon,openml.org/t/189354,,,local,14.0,14.0,,627.4169999999999,0.70833,138728892,stable,Airlines,2020-02-01T06:33:48,0.0.5
0.658874,0.710963,3686.6,1,autogluon,openml.org/t/189354,,,local,12.0,12.0,,939.7139999999999,0.710963,138728893,stable,Airlines,2020-02-01T08:21:45,0.0.5
0.6591520000000001,0.7094550000000001,3688.8,2,autogluon,openml.org/t/189354,,,local,14.0,14.0,,617.711,0.7094550000000001,138728894,stable,Airlines,2020-02-01T09:58:42,0.0.5
0.6574399999999999,0.710511,3670.6,3,autogluon,openml.org/t/189354,,,local,13.0,13.0,,612.992,0.710511,138728895,stable,Airlines,2020-02-01T11:36:55,0.0.5
0.65592,0.7074060000000001,3697.1,4,autogluon,openml.org/t/189354,,,local,13.0,13.0,,624.5409999999999,0.7074060000000001,138728896,stable,Airlines,2020-02-01T13:14:42,0.0.5
0.6564760000000001,0.706746,3720.3,5,autogluon,openml.org/t/189354,,,local,12.0,12.0,,858.092,0.706746,138728897,stable,Airlines,2020-02-01T15:00:12,0.0.5
0.6586270000000001,0.70975,3687.0,6,autogluon,openml.org/t/189354,,,local,13.0,13.0,,618.7869999999999,0.70975,138728898,stable,Airlines,2020-02-01T16:37:15,0.0.5
0.657199,0.7076899999999999,3662.1,7,autogluon,openml.org/t/189354,,,local,13.0,13.0,,649.351,0.7076899999999999,138728899,stable,Airlines,2020-02-01T18:14:57,0.0.5
0.656235,0.707946,3678.4,8,autogluon,openml.org/t/189354,,,local,13.0,13.0,,679.7260000000001,0.707946,138728900,stable,Airlines,2020-02-01T19:52:50,0.0.5
0.661686,0.712906,3669.3,9,autogluon,openml.org/t/189354,,,local,13.0,13.0,,665.84,0.712906,138728901,stable,Airlines,2020-02-01T21:30:47,0.0.5
0.692338,0.761347,3679.0,0,autogluon,openml.org/t/189356,,,local,11.0,11.0,,813.7460000000001,0.761347,1345114239,stable,Albert,2020-02-01T06:50:07,0.0.5
0.685872,0.754818,3674.7,1,autogluon,openml.org/t/189356,,,local,9.0,9.0,,752.436,0.754818,1345114240,stable,Albert,2020-02-01T08:37:53,0.0.5
0.6914680000000001,0.7591180000000001,3684.2,2,autogluon,openml.org/t/189356,,,local,10.0,10.0,,553.347,0.7591180000000001,1345114241,stable,Albert,2020-02-01T10:20:30,0.0.5
0.688388,0.7578239999999999,3674.5,3,autogluon,openml.org/t/189356,,,local,9.0,9.0,,980.71,0.7578239999999999,1345114242,stable,Albert,2020-02-01T12:15:18,0.0.5
0.693162,0.764367,3683.2,4,autogluon,openml.org/t/189356,,,local,10.0,10.0,,720.7130000000001,0.764367,1345114243,stable,Albert,2020-02-01T14:07:13,0.0.5
0.689658,0.759301,3681.8,5,autogluon,openml.org/t/189356,,,local,10.0,10.0,,580.6619999999999,0.759301,1345114244,stable,Albert,2020-02-01T15:50:39,0.0.5
