id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,models_ensemble,predict_duration
openml.org/t/7592,adult,AutoPilot,0,0.871034,local,1.0,,stable,2020-02-04T15:31:22,3666.5,10.0,2814690860,,0.871034,1.0,240.67700000000002
openml.org/t/7592,adult,AutoPilot,1,,local,1.0,,stable,2020-02-04T15:31:24,2.5,,2814690861,AssertionError: config.fold must be 0 when running AutoPilot! Value: 1,,,
openml.org/t/7592,adult,AutoPilot,2,,local,1.0,,stable,2020-02-04T15:31:27,2.5,,2814690862,AssertionError: config.fold must be 0 when running AutoPilot! Value: 2,,,
openml.org/t/7592,adult,AutoPilot,3,,local,1.0,,stable,2020-02-04T15:31:29,2.5,,2814690863,AssertionError: config.fold must be 0 when running AutoPilot! Value: 3,,,
openml.org/t/7592,adult,AutoPilot,4,,local,1.0,,stable,2020-02-04T15:31:32,2.5,,2814690864,AssertionError: config.fold must be 0 when running AutoPilot! Value: 4,,,
openml.org/t/7592,adult,AutoPilot,5,,local,1.0,,stable,2020-02-04T15:31:34,2.5,,2814690865,AssertionError: config.fold must be 0 when running AutoPilot! Value: 5,,,
openml.org/t/7592,adult,AutoPilot,6,,local,1.0,,stable,2020-02-04T15:31:37,2.5,,2814690866,AssertionError: config.fold must be 0 when running AutoPilot! Value: 6,,,
openml.org/t/7592,adult,AutoPilot,7,,local,1.0,,stable,2020-02-04T15:31:39,2.5,,2814690867,AssertionError: config.fold must be 0 when running AutoPilot! Value: 7,,,
openml.org/t/7592,adult,AutoPilot,8,,local,1.0,,stable,2020-02-04T15:31:42,2.5,,2814690868,AssertionError: config.fold must be 0 when running AutoPilot! Value: 8,,,
openml.org/t/7592,adult,AutoPilot,9,,local,1.0,,stable,2020-02-04T15:31:44,2.4,,2814690869,AssertionError: config.fold must be 0 when running AutoPilot! Value: 9,,,
openml.org/t/189354,Airlines,AutoPilot,0,0.667903,local,1.0,,stable,2020-02-05T00:59:40,3668.3,10.0,286396732,,0.667903,1.0,451.145
openml.org/t/189354,Airlines,AutoPilot,1,,local,1.0,,stable,2020-02-05T00:59:47,6.6,,286396733,AssertionError: config.fold must be 0 when running AutoPilot! Value: 1,,,
openml.org/t/189354,Airlines,AutoPilot,2,,local,1.0,,stable,2020-02-05T00:59:53,6.6,,286396734,AssertionError: config.fold must be 0 when running AutoPilot! Value: 2,,,
openml.org/t/189354,Airlines,AutoPilot,3,,local,1.0,,stable,2020-02-05T01:00:00,6.5,,286396735,AssertionError: config.fold must be 0 when running AutoPilot! Value: 3,,,
openml.org/t/189354,Airlines,AutoPilot,4,,local,1.0,,stable,2020-02-05T01:00:06,6.4,,286396736,AssertionError: config.fold must be 0 when running AutoPilot! Value: 4,,,
openml.org/t/189354,Airlines,AutoPilot,5,,local,1.0,,stable,2020-02-05T01:00:13,6.7,,286396737,AssertionError: config.fold must be 0 when running AutoPilot! Value: 5,,,
openml.org/t/189354,Airlines,AutoPilot,6,,local,1.0,,stable,2020-02-05T01:00:19,6.5,,286396738,AssertionError: config.fold must be 0 when running AutoPilot! Value: 6,,,
openml.org/t/189354,Airlines,AutoPilot,7,,local,1.0,,stable,2020-02-05T01:00:26,6.6,,286396739,AssertionError: config.fold must be 0 when running AutoPilot! Value: 7,,,
openml.org/t/189354,Airlines,AutoPilot,8,,local,1.0,,stable,2020-02-05T01:00:32,6.6,,286396740,AssertionError: config.fold must be 0 when running AutoPilot! Value: 8,,,
openml.org/t/189354,Airlines,AutoPilot,9,,local,1.0,,stable,2020-02-05T01:00:39,6.6,,286396741,AssertionError: config.fold must be 0 when running AutoPilot! Value: 9,,,
openml.org/t/189356,Albert,AutoPilot,0,0.647775,local,1.0,,stable,2020-02-05T02:10:36,3695.0,10.0,4051172572,,0.647775,1.0,243.666
openml.org/t/189356,Albert,AutoPilot,1,,local,1.0,,stable,2020-02-05T02:12:19,103.0,,4051172573,AssertionError: config.fold must be 0 when running AutoPilot! Value: 1,,,
openml.org/t/189356,Albert,AutoPilot,2,,local,1.0,,stable,2020-02-05T02:14:02,103.2,,4051172574,AssertionError: config.fold must be 0 when running AutoPilot! Value: 2,,,
openml.org/t/189356,Albert,AutoPilot,3,,local,1.0,,stable,2020-02-05T02:15:45,102.9,,4051172575,AssertionError: config.fold must be 0 when running AutoPilot! Value: 3,,,
openml.org/t/189356,Albert,AutoPilot,4,,local,1.0,,stable,2020-02-05T02:17:27,102.4,,4051172576,AssertionError: config.fold must be 0 when running AutoPilot! Value: 4,,,
openml.org/t/189356,Albert,AutoPilot,5,,local,1.0,,stable,2020-02-05T02:19:09,102.0,,4051172577,AssertionError: config.fold must be 0 when running AutoPilot! Value: 5,,,
openml.org/t/189356,Albert,AutoPilot,6,,local,1.0,,stable,2020-02-05T02:20:52,102.5,,4051172578,AssertionError: config.fold must be 0 when running AutoPilot! Value: 6,,,
openml.org/t/189356,Albert,AutoPilot,7,,local,1.0,,stable,2020-02-05T02:22:34,102.3,,4051172579,AssertionError: config.fold must be 0 when running AutoPilot! Value: 7,,,
openml.org/t/189356,Albert,AutoPilot,8,,local,1.0,,stable,2020-02-05T02:24:17,102.2,,4051172580,AssertionError: config.fold must be 0 when running AutoPilot! Value: 8,,,
openml.org/t/189356,Albert,AutoPilot,9,,local,1.0,,stable,2020-02-05T02:25:59,102.6,,4051172581,AssertionError: config.fold must be 0 when running AutoPilot! Value: 9,,,
openml.org/t/34539,Amazon_employee_access,AutoPilot,0,0.9450719999999999,local,1.0,,stable,2020-02-04T16:37:36,3668.6,10.0,2763709444,,0.9450719999999999,1.0,270.79900000000004
