DATASET,MODEL_NAME,METRIC_ERROR,TIME_TRAIN_S,PUBLIC_ERROR,METRIC,PROBLEM_TYPE,STATUS,SCORE,LEADER_RANK,NUM_COMPETITORS,LEADER_PERCENTILE
house-prices-advanced-regression-techniques,autogluon_4h,0.11962,11966.19156,0.11962,RMSLE,regression,,0.11962,1040,4984,0.208667737
house-prices-advanced-regression-techniques,autogluon_8h,0.11979,26702.62891,0.11979,RMSLE,regression,,0.11979,1074,4984,0.215489567
house-prices-advanced-regression-techniques,autosklearn_4h,0.12136,14396.39648,0.12136,RMSLE,regression,,0.12136,1252,4984,0.251203852
house-prices-advanced-regression-techniques,autosklearn_8h,0.1206,28795.72616,0.1206,RMSLE,regression,,0.1206,1157,4984,0.232142857
house-prices-advanced-regression-techniques,AutoWEKA_4h,0.14585,12435.88642,0.14585,RMSLE,regression,,0.14585,2887,4984,0.579253612
house-prices-advanced-regression-techniques,AutoWEKA_8h,0.13551,25073.15747,0.13551,RMSLE,regression,,0.13551,2336,4984,0.468699839
house-prices-advanced-regression-techniques,TPOT_4h,0.12798,16354.75635,0.12798,RMSLE,regression,,0.12798,1778,4984,0.356741573
house-prices-advanced-regression-techniques,TPOT_8h,0.12185,30491.17887,0.12185,RMSLE,regression,,0.12185,1295,4984,0.259831461
house-prices-advanced-regression-techniques,H2OAutoML_4h,0.13241,11435.77779,0.13241,RMSLE,regression,,0.13241,2099,4984,0.421147673
house-prices-advanced-regression-techniques,H2OAutoML_8h,0.13241,22209.47444,0.13241,RMSLE,regression,,0.13241,2099,4984,0.421147673
house-prices-advanced-regression-techniques,GoogleAutoMLTables_4h,0.13502,7043.645603,0.13502,RMSLE,regression,,0.13502,2303,4984,0.462078652
house-prices-advanced-regression-techniques,GoogleAutoMLTables_8h,0.13531,9274.083024,0.13531,RMSLE,regression,,0.13531,2327,4984,0.466894061
allstate-claims-severity,autogluon_4h,1126.66575,14343.33213,1117.44592,MAE,regression,,1126.66575,894,3045,0.293596059
allstate-claims-severity,autogluon_8h,1125.33539,23879.16366,1116.39174,MAE,regression,,1125.33539,817,3045,0.268308703
allstate-claims-severity,autosklearn_4h,1186.0987,14398.88455,1177.67074,MAE,regression,,1186.0987,2101,3045,0.68998358
allstate-claims-severity,autosklearn_8h,1195.77588,28798.35283,1185.73378,MAE,regression,,1195.77588,2158,3045,0.708702791
allstate-claims-severity,AutoWEKA_4h,1395.03429,14079.09648,1383.92837,MAE,regression,,1395.03429,2666,3045,0.875533662
allstate-claims-severity,AutoWEKA_8h,1395.03429,25919.82278,1383.92837,MAE,regression,,1395.03429,2666,3045,0.875533662
allstate-claims-severity,TPOT_4h,1235.94961,15975.78984,1222.95668,MAE,regression,,1235.94961,2322,3045,0.762561576
allstate-claims-severity,TPOT_8h,1186.50582,32163.33047,1172.91893,MAE,regression,,1186.50582,2107,3045,0.691954023
allstate-claims-severity,H2OAutoML_4h,1171.95612,14467.79204,1165.39179,MAE,regression,,1171.95612,1972,3045,0.647619048
allstate-claims-severity,H2OAutoML_8h,1167.92691,28935.8124,1160.17046,MAE,regression,,1167.92691,1935,3045,0.63546798
allstate-claims-severity,GoogleAutoMLTables_4h,1124.60003,16374.60586,1116.18663,MAE,regression,,1124.60003,790,3045,0.259441708
allstate-claims-severity,GoogleAutoMLTables_8h,1123.68052,30889.44345,1115.62744,MAE,regression,,1123.68052,739,3045,0.242692939
mercedes-benz-greener-manufacturing,autogluon_4h,0.47227,13775.18172,0.45651,R2,regression,,0.52773,3173,3822,0.830193616
mercedes-benz-greener-manufacturing,autogluon_8h,0.47698,28118.09832,0.46565,R2,regression,,0.52302,3237,3822,0.846938776
mercedes-benz-greener-manufacturing,autosklearn_4h,0.45439,14395.72206,0.44861,R2,regression,,0.54561,2124,3822,0.555729984
mercedes-benz-greener-manufacturing,autosklearn_8h,0.45341,28796.17537,0.45043,R2,regression,,0.54659,1883,3822,0.492673993
mercedes-benz-greener-manufacturing,AutoWEKA_4h,0.47443,12152.87273,0.45489,R2,regression,,0.52557,3207,3822,0.839089482
mercedes-benz-greener-manufacturing,AutoWEKA_8h,0.49112,27473.9171,0.47912,R2,regression,,0.50888,3384,3822,0.885400314
mercedes-benz-greener-manufacturing,TPOT_4h,0.45266,17584.51814,0.44723,R2,regression,,0.54734,1730,3822,0.452642595
mercedes-benz-greener-manufacturing,TPOT_8h,0.45276,32983.16179,0.44612,R2,regression,,0.54724,1753,3822,0.458660387
mercedes-benz-greener-manufacturing,H2OAutoML_4h,0.45643,12168.29212,0.44924,R2,regression,,0.54357,2431,3822,0.636054422
mercedes-benz-greener-manufacturing,H2OAutoML_8h,0.45256,20139.73949,0.44825,R2,regression,,0.54744,1703,3822,0.445578231
mercedes-benz-greener-manufacturing,GoogleAutoMLTables_4h,0.45094,14690.19903,0.44658,R2,regression,,0.54906,1305,3822,0.34144427
mercedes-benz-greener-manufacturing,GoogleAutoMLTables_8h,0.45298,23477.61279,0.44547,R2,regression,,0.54702,1811,3822,0.473835688
santander-value-prediction-challenge,autogluon_4h,1.41368,12567.51914,1.46918,RMSLE,regression,,1.41368,2607,4461,0.584398117
santander-value-prediction-challenge,autogluon_8h,1.41083,27747.93016,1.46576,RMSLE,regression,,1.41083,2573,4461,0.576776508
